Date,Open,High,Low,Close,Volume,Market Cap
12-03-2018,0.657032,0.678912,0.439105,0.447921,1862,388143
13-03-2018,0.002363,0.002465,0.002218,0.002378,3,207131
13-03-2018,0.008998,0.010489,0.008883,0.010337,35,56181
13-03-2018,0.445349,0.728452,0.430478,0.721691,2762,263090
14-03-2018,0.002379,0.002433,0.002065,0.002135,3,208511
14-03-2018,0.010339,0.01083,0.009461,0.009853,201,64553
14-03-2018,0.72179,0.732224,0.441684,0.594377,812,426398
15-03-2018,0.002134,0.002147,0.001998,0.002066,10,187038
15-03-2018,0.009848,0.010792,0.009234,0.010662,37,61492
15-03-2018,0.59411,0.597842,0.383978,0.438059,592,350971
16-03-2018,0.002065,0.002231,0.001988,0.002155,56,181017
16-03-2018,0.010656,0.012097,0.009261,0.01152,110,66535
16-03-2018,0.437812,0.559912,0.280933,0.545334,2471,258638
17-03-2018,0.002158,0.002163,0.001947,0.001976,67,189188
17-03-2018,0.011539,0.015806,0.009335,0.012886,706,72048
17-03-2018,0.458238,0.625345,0.449097,0.482253,5323,270705
18-03-2018,0.001972,0.002105,0.001755,0.001974,106,172820
18-03-2018,0.012855,0.014523,0.006556,0.008389,1286,80265
18-03-2018,0.48108,0.717104,0.336463,0.476307,8336,284199
19-03-2018,0.001966,0.002257,0.001966,0.002217,6,172297
19-03-2018,0.008354,0.016463,0.008303,0.009381,1127,52162
19-03-2018,0.4743,0.491218,0.344649,0.491218,3676,280193
20-03-2018,0.002242,0.002343,0.002087,0.002311,30,196522
20-03-2018,0.009486,0.017025,0.009299,0.011821,1200,59226
20-03-2018,0.496698,0.496698,0.338171,0.346997,1425,293425
21-03-2018,0.002315,0.002457,0.001933,0.001961,226,202928
21-03-2018,0.011843,0.015999,0.010779,0.013724,480,73944
21-03-2018,0.347625,0.495431,0.347625,0.481608,851,205360
22-03-2018,0.001957,0.002186,0.001912,0.002175,14,171538
22-03-2018,0.013699,0.014862,0.011796,0.014793,151,85535
22-03-2018,0.48073,0.49127,0.367381,0.375124,19,283992
